File	Label	Start[s]	End[s]	Duration[ms]	Intensity	Pitch	F1_mean[Hz]	F1_stdev[Hz]	F2_mean[Hz]	F2_stdev[Hz]	F3_mean[Hz]	F3_stdev[Hz]	F4_mean[Hz]	F4_stdev[Hz]	F5_mean[Hz]	F5_stdev[Hz]
e1	e1	0	0.4005	400.522	85.657	224.144	429	10.85	2573	268.52	3119	131.45	4223	280.67	4342	30.42
e2	e2	0	0.4005	400.544	85.041	222.919	432	4.50	2632	59.27	3047	66.75	4144	45.19	4286	83.00
e3	e3	0	0.3999	399.864	85.072	223.788	436	2.66	2477	167.62	2978	137.69	3998	388.09	4247	26.97
e4	e4	0	0.4002	400.181	85.007	223.876	438	2.53	2488	109.72	3008	135.46	4038	367.00	4270	38.45
e5	e5	0	0.4004	400.431	84.408	224.813	438	8.09	2506	193.01	3022	139.53	3988	308.35	4313	28.80
o1	o1	0	0.3996	399.637	87.088	222.730	434	2.93	751	56.29	3172	156.41	3678	114.39	4701	196.74
o2	o2	0	0.4003	400.317	87.049	223.515	431	5.10	672	69.26	2993	70.07	3756	46.79	4997	195.73
o3	o3	0	0.4001	400.091	86.510	224.187	433	8.69	698	63.08	3161	148.17	3721	81.13	5029	243.64
o4	o4	0	0.3999	399.864	86.857	222.879	440	16.84	708	114.30	3305	219.27	3907	143.53	4778	122.60
o5	o5	0	0.4004	400.363	86.621	221.604	435	34.28	712	234.44	3106	224.67	3783	143.98	4758	225.00
u1	u1	0	0.4001	400.136	85.900	225.528	322	22.01	687	29.59	2927	70.76	3712	57.59	5178	222.59
u2	u2	0	0.3995	399.478	85.703	222.351	347	45.99	713	121.25	2739	278.18	3814	80.10	4840	346.08
u3	u3	0	0.4007	400.703	86.320	223.973	355	34.01	650	69.97	2856	286.11	3691	78.21	4776	358.87
u4	u4	0	0.4002	400.227	86.818	224.156	301	35.89	671	26.24	2885	164.58	3688	66.06	4791	272.85
u5	u5	0	0.3999	399.887	86.178	222.592	307	31.71	656	26.98	2903	97.76	3866	116.26	4659	261.16
