File	Label	Start[s]	End[s]	Duration[ms]	Intensity	Pitch	F1_mean[Hz]	F1_stdev[Hz]	F2_mean[Hz]	F2_stdev[Hz]	F3_mean[Hz]	F3_stdev[Hz]	F4_mean[Hz]	F4_stdev[Hz]	F5_mean[Hz]	F5_stdev[Hz]
ae1	ae1	0	0.4102	410.227	70.109	202.148	621	13.48	1896	67.80	3028	34.27	4576	92.09	.	.
ae2	ae2	0	0.4101	410.068	69.744	200.827	619	20.91	2030	40.55	3060	49.12	4566	152.09	.	.
ae3	ae3	0	0.4097	409.683	70.034	201.664	655	45.09	1973	147.51	3011	66.32	4635	96.95	.	.
ae4	ae4	0	0.4102	410.181	69.933	201.442	633	30.33	1927	134.62	2976	52.44	4488	88.67	.	.
ae5	ae5	0	0.4100	409.977	69.995	201.960	682	48.84	1960	186.15	2978	124.41	4544	203.53	4572	0
oe1	oe1	0	0.4100	410.023	70.070	203.786	395	6.23	1634	68.15	2660	35.57	4090	175.18	5198	176.93
oe2	oe2	0	0.4096	409.615	70.057	205.007	400	4.79	1765	38.34	2671	28.35	4254	97.95	5150	58.74
oe3	oe3	0	0.4102	410.204	70.075	203.280	392	8.98	1482	87.53	2622	28.05	4008	108.92	4955	155.96
oe4	oe4	0	0.4101	410.113	70.086	206.306	405	4.09	1614	50.23	2669	49.88	4028	293.81	5103	106.39
oe5	oe5	0	0.4098	409.796	70.118	205.113	399	6.61	1626	25.34	2592	66.75	4089	243.83	4837	255.80
ue1	ue1	0	0.4105	410.476	70.016	201.259	298	12.68	1824	115.65	2351	68.66	3556	229.50	4744	39.89
ue2	ue2	0	0.4098	409.773	70.125	203.222	315	17.19	1906	69.16	2442	59.85	3671	100.93	4816	57.45
ue3	ue3	0	0.4102	410.204	70.113	203.497	306	12.68	1995	129.19	2390	79.69	3602	279.20	4682	147.59
ue4	ue4	0	0.4093	409.320	70.142	204.844	327	9.26	1958	61.29	2456	61.82	3692	156.93	4701	117.96
ue5	ue5	0	0.4095	409.456	70.065	205.661	328	10.26	1819	64.17	2460	69.23	3588	103.96	4800	81.47
